root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940624565006,['T4b; FBbt_00003733'],ME.LOP.3137,ACH,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,['T4b'],,,['reciprocal'; 'feedforward_loop_participant'],right,92,184
720575940605453001,['T4b; FBbt_00003733'],ME.LOP.2718,ACH,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,['T4b'],,,['reciprocal'; 'feedforward_loop_participant'],right,73,180
720575940616748817,['T5b; FBbt_00003738'],LO.LOP.4072,ACH,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,['T5b'],,,['reciprocal'; 'feedforward_loop_participant'],right,104,183
720575940624226795,['Tm9; Transmedullary neuron 9; FBbt_00003797'; 'Transmedullary; Tm'],ME.LO.9840,ACH,intrinsic,optic,optic_lobe_intrinsic,transmedullary,['Tm9'],,,['reciprocal'; 'feedforward_loop_participant'],right,82,158
720575940623725803,['T5b; FBbt_00003738'],LO.LOP.3430,ACH,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,['T5b'],,,['reciprocal'; 'feedforward_loop_participant'],right,76,157
720575940612971634,['T4c; FBbt_00003734'; 'T4'],ME.LOP.4573,ACH,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,['T4c'],,,['reciprocal'; 'feedforward_loop_participant'],right,64,113
720575940633810367,['Tm9; Transmedullary neuron 9; FBbt_00003797'],LO.4895,ACH,intrinsic,optic,optic_lobe_intrinsic,transmedullary,['Tm9'],,,['reciprocal'; 'feedforward_loop_participant'],right,48,77
720575940615018146,['Tm9; Transmedullary neuron 9; FBbt_00003797'],ME.LO.15255,ACH,intrinsic,optic,optic_lobe_intrinsic,transmedullary,['Tm9'],,,['reciprocal'; 'feedforward_loop_participant'],right,44,74
720575940621360349,['transmedullary neuron Tm9; Cholinergic; FBbt_00003797'],ME.LO.14981,ACH,intrinsic,optic,optic_lobe_intrinsic,transmedullary,['Tm9'],,,['reciprocal'],right,57,96
720575940612198835,['Tm9; Transmedullary neuron 9; FBbt_00003797'],ME.LO.15063,ACH,intrinsic,optic,optic_lobe_intrinsic,transmedullary,['Tm9'],,,['reciprocal'],right,29,87
720575940637894110,['Tm9; Transmedullary neuron 9; FBbt_00003797'],ME.LO.16801,ACH,intrinsic,optic,optic_lobe_intrinsic,transmedullary,['Tm9'],,,['reciprocal'; 'feedforward_loop_participant'],right,46,75
720575940625756208,['Tm9; Transmedullary neuron 9; FBbt_00003797'],ME.LO.14925,ACH,intrinsic,optic,optic_lobe_intrinsic,transmedullary,['Tm9'],,,['reciprocal'; 'feedforward_loop_participant'],right,41,74
720575940621398399,['T4b; FBbt_00003733'],ME.LOP.2611,ACH,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,['T4b'],,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,161,181
720575940609740381,['T4a; FBbt_00003732'],ME.LOP.2447,ACH,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,['T4a'],,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,177,157
720575940609942136,['T4a; FBbt_00003732'],ME.LOP.2445,ACH,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,['T4a'],,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,141,144
720575940621261744,['T5a; FBbt_00003737'],LO.LOP.1289,ACH,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,['T5a'],,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,118,143
720575940613565849,['T4a; FBbt_00003732'],ME.LOP.2802,ACH,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,['T4a'],,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,127,141
